CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;22907083;PATI3;Ordinárias;2023;DFP;1899576;1575443;1899576;557280;3891;501923;371742;840373;2331132;-2142911;188221;-85058;103163;112842;-127864;-15022;88141;329349;157585;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;22907083;PATI3;Ordinárias;2024;DFP;1564782;1163978;1564782;457759;4160;266459;233923;840564;1879266;-1699553;179713;-123988;55725;72408;-95271;-22863;32862;271152;44432;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;1025286; PATI4;Preferenciais;2023;DFP;1899576;1575443;1899576;557280;3891;501923;371742;840373;2331132;-2142911;188221;-85058;103163;112842;-127864;-15022;88141;329349;157585;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;1025286; PATI4;Preferenciais;2024;DFP;1564782;1163978;1564782;457759;4160;266459;233923;840564;1879266;-1699553;179713;-123988;55725;72408;-95271;-22863;32862;271152;44432;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5296370781;BBDC3;Ordinárias;2023;DFP;1792288792;126185421;1792288792;13341324;;1239685337;593422900;332169978;205913274;-130801913;75111361;-50489751;24621610;;;-3164840;21456770;49767703;-55588276;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5296370781;BBDC3;Ordinárias;2024;DFP;1927523249;186790580;1927523249;15542220;;1323281107;625792757;370606996;224457793;-156376055;68081738;-57873387;10208351;;;4294414;14502765;-177628;-87026367;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5280641247; BBDC4;Preferenciais;2023;DFP;1792288792;126185421;1792288792;13341324;;1239685337;593422900;332169978;205913274;-130801913;75111361;-50489751;24621610;;;-3164840;21456770;49767703;-55588276;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5280641247; BBDC4;Preferenciais;2024;DFP;1927523249;186790580;1927523249;15542220;;1323281107;625792757;370606996;224457793;-156376055;68081738;-57873387;10208351;;;4294414;14502765;-177628;-87026367;;;
1023;BCO BRASIL S.A.;00.000.000/0001-91;Bancos;5708390161;BBAS3;Ordinárias;2023;DFP;2008168606;68826279;2008168606;2764797;;1753201995;753263047;21957583;236549051;-162202484;74346567;-35893006;38453561;;;-8452382;30001179;66057337;-215471;;;
1023;BCO BRASIL S.A.;00.000.000/0001-91;Bancos;5708390161;BBAS3;Ordinárias;2024;DFP;2153878452;56999814;2153878452;2509742;;1884405380;811943803;21787037;265438605;-176689874;88748731;-47601540;41147191;;;-7981600;33165591;16740785;-258197;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;254106600;BEES3;Ordinárias;2023;DFP;36738657;4466252;36738657;0;;33170888;20182015;184624;4784599;-3538253;1246346;-739391;506955;;;-162313;344642;5441158;-184307;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;254106600;BEES3;Ordinárias;2024;DFP;41413000;1814140;41413000;0;;37706162;22391515;176006;5130679;-3686397;1444282;-1011553;432729;;;-108926;323803;115287;-142322;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;93397546; BEES4;Preferenciais;2023;DFP;36738657;4466252;36738657;0;;33170888;20182015;184624;4784599;-3538253;1246346;-739391;506955;;;-162313;344642;5441158;-184307;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;93397546; BEES4;Preferenciais;2024;DFP;41413000;1814140;41413000;0;;37706162;22391515;176006;5130679;-3686397;1444282;-1011553;432729;;;-108926;323803;115287;-142322;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;205064841;BRSR3;Ordinárias;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;205064841;BRSR3;Ordinárias;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;1373091; BRSR5;Preferenciais;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;1373091; BRSR5;Preferenciais;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;202536545; BRSR6;Preferenciais;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;202536545; BRSR6;Preferenciais;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;65155744;BMEB3;Ordinárias;2023;DFP;15487360;1802630;15487360;0;;12509756;10841812;270495;3539861;-1568891;1970970;-1707588;263382;;;-63531;199851;234126;159520;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;65155744;BMEB3;Ordinárias;2024;DFP;19672000;2793186;19672000;0;;16419138;13897527;259185;4707585;-2132336;2575249;-2082361;492888;;;-97511;395377;-107544;223454;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;39327336; BMEB4;Preferenciais;2023;DFP;15487360;1802630;15487360;0;;12509756;10841812;270495;3539861;-1568891;1970970;-1707588;263382;;;-63531;199851;234126;159520;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;39327336; BMEB4;Preferenciais;2024;DFP;19672000;2793186;19672000;0;;16419138;13897527;259185;4707585;-2132336;2575249;-2082361;492888;;;-97511;395377;-107544;223454;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4888110;BALM3;Ordinárias;2023;DFP;248609;175989;248609;69990;2833;44029;18976;134590;164544;-68618;95926;-77751;18175;17449;-25947;-8498;9677;3133;-20264;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4888110;BALM3;Ordinárias;2024;DFP;249925;176902;249925;62641;2789;41685;16340;145599;169950;-67074;102876;-81288;21588;14019;-20993;-6974;14614;23636;-13348;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4896400; BALM4;Preferenciais;2023;DFP;248609;175989;248609;69990;2833;44029;18976;134590;164544;-68618;95926;-77751;18175;17449;-25947;-8498;9677;3133;-20264;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4896400; BALM4;Preferenciais;2024;DFP;249925;176902;249925;62641;2789;41685;16340;145599;169950;-67074;102876;-81288;21588;14019;-20993;-6974;14614;23636;-13348;;;
2100;CAMBUCI S.A.;61.088.894/0001-08;Têxtil e Vestuário;41839573;CAMB3;Ordinárias;2023;DFP;386493;182934;386493;107745;14849;107633;71832;171115;440404;-242305;198099;-108923;89176;17647;-47091;-29444;59732;42749;-133416;;;
2100;CAMBUCI S.A.;61.088.894/0001-08;Têxtil e Vestuário;41839573;CAMB3;Ordinárias;2024;DFP;335593;147281;335593;66356;9823;36405;3095;232832;459161;-241528;217633;-119561;98072;16254;-40910;-24656;73416;136479;-99537;;;
2429;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;Embalagens;230501219;RANI3;Ordinárias;2023;DFP;3515338;1505181;3515338;577460;56385;1812793;1518580;1125085;1686666;-878594;808072;-228209;579863;102825;-164328;-61503;518360;377523;-8436;;;
2429;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;Embalagens;230501219;RANI3;Ordinárias;2024;DFP;3467066;1134869;3467066;302837;58601;1884525;1570322;1279704;1594245;-907647;686598;-135185;551413;193113;-238687;-45574;505839;269711;-9409;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;1975675166;ELET3;Ordinárias;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;1975675166;ELET3;Ordinárias;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;142559; ELET5;Preferenciais;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;142559; ELET5;Preferenciais;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;272578793; ELET6;Preferenciais;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;272578793; ELET6;Preferenciais;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;956601779;CMIG3;Ordinárias;2023;DFP;53670837;13465203;53670837;11205178;260015;20682393;9624001;21783266;34462808;-27652015;6810793;-1123616;5687177;1499794;-3066415;-1566621;4120556;6544402;-2613340;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;956601779;CMIG3;Ordinárias;2024;DFP;55000080;11869068;55000080;13092816;238749;17252071;7201431;24655193;36849769;-28465929;8383840;-1153714;7230126;1272079;-1651045;-378966;6851160;6644278;-2678503;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;1904080104; CMIG4;Preferenciais;2023;DFP;53670837;13465203;53670837;11205178;260015;20682393;9624001;21783266;34462808;-27652015;6810793;-1123616;5687177;1499794;-3066415;-1566621;4120556;6544402;-2613340;;;
